 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17   1
18   1
19   1
20   1
21   1
22   1
23   1
24   1
25  -1
26  -2
27  -3
28  -4
29  -5
30  -6
31  -7
32  -8
33  -9
34 -10
35 -11
36 -12
37 -13
38 -14
39 -15
40 -16
41 -17
42 -18
43 -19
44 -20
45 -21
46 -22
47 -23
48 -24
49   1
50   1
51   1
52   1
53   1
54   1
55   1
56   1
57 -49
58 -50
59 -51
60 -52
61 -53
62 -54
63 -55
64 -56
65   1
66   1
67   1
68   1
69   1
70   1
71   1
72   1
73   1
74   1
75   1
76   1
77   1
78   1
79   1
80   1
81   1
82   1
83 -81
84 -82
85   1
86   1
87 -85
88 -86
89   1
90   1
91   1
92   1
93   1
94   1
95   1
96   1
